run_id,scene,task,hops,passed,milestones_done,milestones_trackable,milestones_total,milestones_presatisfied,steps_used,termination,agent_mode,channel,model,max_steps,milestone_hint,codex_effort,codex_timeout,model_server,prolong_log_window,prolong_stateless,serving,trustworthy,invalid_reason,commit,slurm_job,submitted_at
20260815-183947-qwen35-0313-0544-native-arm64-5340,0313,"Find the cut sandstone temple, then enter it and locate the tripwire trap inside.",2,False,0,2,2,0,2,agent_esc,,vllm,Qwen/Qwen3.5-27B@fc05daec18b0a78c049392ed2e771dde82bdf654,,,,,,,,,False,mc_server did not forward info; position milestones were unscorable,6e21788bad43,2955143,2026-08-15 18:39:48 CDT
20260815-183947-qwen35-0313-0544-native-arm64-5340,0544,"Explore the desert area. First, find and approach the sandstone structure. Then, locate a dead bush growing on the sand nearby.",2,False,0,2,2,0,3,agent_esc,,vllm,Qwen/Qwen3.5-27B@fc05daec18b0a78c049392ed2e771dde82bdf654,,,,,,,,,False,mc_server did not forward info; position milestones were unscorable,6e21788bad43,2955143,2026-08-15 18:39:48 CDT
20260815-210755-qwen35-0313-0544-scored-33ea,0313,"Find the cut sandstone temple, then enter it and locate the tripwire trap inside.",2,False,1,2,2,0,13,agent_esc,,vllm,Qwen/Qwen3.5-27B@fc05daec18b0a78c049392ed2e771dde82bdf654,300,0,,,,,,,False,PROTOCOL: no-hint (agent could end its own episode),9ad678eac4f8,2955919,2026-08-15 21:07:56 CDT
20260815-210755-qwen35-0313-0544-scored-33ea,0544,"Explore the desert area. First, find and approach the sandstone structure. Then, locate a dead bush growing on the sand nearby.",2,False,0,2,2,0,3,agent_esc,,vllm,Qwen/Qwen3.5-27B@fc05daec18b0a78c049392ed2e771dde82bdf654,300,0,,,,,,,False,PROTOCOL: no-hint (agent could end its own episode),9ad678eac4f8,2955919,2026-08-15 21:07:56 CDT
20260815-225424-codex-gpt56-0313-0544-scored-v2-0fd3,0313,"Find the cut sandstone temple, then enter it and locate the tripwire trap inside.",2,True,2,2,2,0,300,max_steps,,codex,gpt-5.6-sol,,,,,,,,,False,PROTOCOL: no-hint,db33e6062575,2956380,2026-08-15 22:54:25 CDT
20260815-225424-codex-gpt56-0313-0544-scored-v2-0fd3,0544,"Explore the desert area. First, find and approach the sandstone structure. Then, locate a dead bush growing on the sand nearby.",2,True,2,2,2,0,300,max_steps,,codex,gpt-5.6-sol,,,,,,,,,False,PROTOCOL: no-hint,db33e6062575,2956380,2026-08-15 22:54:25 CDT
20260815-230133-codex-qwen35-hypothesis-0313-0544-4e7f,0313,"Find the cut sandstone temple, then enter it and locate the tripwire trap inside.",2,False,0,2,2,0,2,agent_esc,,codex,Qwen/Qwen3.5-27B@fc05daec18b0a78c049392ed2e771dde82bdf654,,,,,,,,,False,"same edit window; still running, expect the same tail failure",4eb3e828241f,2956403,2026-08-15 23:01:33 CDT
20260815-232921-prolong-pilot-0313-7f13,0313,"Find the cut sandstone temple, then enter it and locate the tripwire trap inside.",2,False,0,0,,,,,,codex,gpt-5.6-sol,,,,,,,,,False,pilot; ActionState returned where a wire dict was required,eb45af4f8430,2956509,2026-08-15 23:29:22 CDT
20260815-233254-prolong-pilot2-0313-57c8,0313,"Find the cut sandstone temple, then enter it and locate the tripwire trap inside.",2,False,1,2,2,0,4,max_steps,,codex,gpt-5.6-sol,,,,,,,,,False,"pilot; MAX_STEPS=4, not a scored episode",0df72cfadd07,2956526,2026-08-15 23:32:55 CDT
20260815-234541-prolong-gpt56-v2-0313-0544-6c7e,0313,"Find the cut sandstone temple, then enter it and locate the tripwire trap inside.",2,False,1,2,2,0,17,agent_esc,,codex,gpt-5.6-sol,,,,,,,,,False,ESC wording differed from the baseline; episodes ended an order of magnitude early,16f6e3d6d13c,2956577,2026-08-15 23:45:42 CDT
20260815-234541-prolong-gpt56-v2-0313-0544-6c7e,0544,"Explore the desert area. First, find and approach the sandstone structure. Then, locate a dead bush growing on the sand nearby.",2,False,0,2,2,0,8,agent_esc,,codex,gpt-5.6-sol,,,,,,,,,False,ESC wording differed from the baseline; episodes ended an order of magnitude early,16f6e3d6d13c,2956577,2026-08-15 23:45:42 CDT
20260815-234640-qwen35-vllm-hypothesis-0313-0544-70c4,0313,"Find the cut sandstone temple, then enter it and locate the tripwire trap inside.",2,False,0,2,2,0,1,agent_esc,,vllm,Qwen/Qwen3.5-27B@fc05daec18b0a78c049392ed2e771dde82bdf654,,,,,,,,,False,"BROKEN: Xvfb :99 taken by a co-scheduled job; scored against a foreign sandbox, 440+ env.step failures",16f6e3d6d13c,2956582,2026-08-15 23:46:41 CDT
20260815-234642-codex-qwen35-default-0313-0544-5072,0313,"Find the cut sandstone temple, then enter it and locate the tripwire trap inside.",2,False,1,2,2,0,3,agent_esc,,codex,Qwen/Qwen3.5-27B@fc05daec18b0a78c049392ed2e771dde82bdf654,,,,,,,,,True,,16f6e3d6d13c,2956583,2026-08-15 23:46:42 CDT
20260815-234642-codex-qwen35-default-0313-0544-5072,0544,"Explore the desert area. First, find and approach the sandstone structure. Then, locate a dead bush growing on the sand nearby.",2,False,0,2,2,0,3,agent_esc,,codex,Qwen/Qwen3.5-27B@fc05daec18b0a78c049392ed2e771dde82bdf654,,,,,,,,,True,,16f6e3d6d13c,2956583,2026-08-15 23:46:42 CDT
20260815-235643-prolong-gpt56-v3-0313-0544-557a,0313,"Find the cut sandstone temple, then enter it and locate the tripwire trap inside.",2,True,2,2,2,0,300,max_steps,,codex,gpt-5.6-sol,,,,,,,,,False,VARIANT: vision-on-demand prolong (no frame attached per turn),7bfa59a3a255,2956637,2026-08-15 23:56:43 CDT
